codevalue,valuelabel
51.3305,Ayurvedic Medicine/Ayurveda
51.3306,Holistic Health
51.3399,"Alternative and Complementary Medicine and Medical Systems, Other"
51.3401,Direct Entry Midwifery
51.3499,"Alternative and Complementary Medical Support Services, Other"
51.3501,Massage Therapy/Therapeutic Massage
51.3502,Asian Bodywork Therapy
51.3503,Somatic Bodywork
51.3599,"Somatic Bodywork and Related Therapeutic Services, Other"
51.3601,Movement Therapy and Movement Education
51.3602,Yoga Teacher Training/Yoga Therapy
51.3603,Hypnotherapy/Hypnotherapist
51.3699,"Movement and Mind-Body Therapies and Education, Other"
51.3701,Aromatherapy
51.3702,Herbalism/Herbalist
51.3703,Polarity Therapy
51.3704,Reiki
51.3799,"Energy and Biologically Based Therapies, Other"
51.3801,Registered Nursing/Registered Nurse
51.3802,Nursing Administration
51.3803,Adult Health Nurse/Nursing
51.3804,Nurse Anesthetist
51.3805,Family Practice Nurse/Nursing
51.3806,Maternal/Child Health and Neonatal Nurse/Nursing
51.3807,Nurse Midwife/Nursing Midwifery
51.3808,Nursing Science
51.3809,Pediatric Nurse/Nursing
51.381,Psychiatric/Mental Health Nurse/Nursing
51.3811,Public Health/Community Nurse/Nursing
51.3812,Perioperative/Operating Room and Surgical Nurse/Nursing
51.3813,Clinical Nurse Specialist
51.3814,Critical Care Nursing
51.3815,Occupational and Environmental Health Nursing
51.3816,Emergency Room/Trauma Nursing
51.3817,Nursing Education
51.3818,Nursing Practice
51.3819,Palliative Care Nursing
51.382,Clinical Nurse Leader
51.3821,Geriatric Nurse/Nursing
51.3822,Women's Health Nurse/Nursing
51.3899,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursin"
51.3901,Licensed Practical/Vocational Nurse Training
51.3902,Nursing Assistant/Aide and Patient Care Assistant/Aide
51.3999,"Practical Nursing, Vocational Nursing and Nursing Assistants, Other"
51.9999,"Health Professions and Related Clinical Sciences, Other"
52.0101,"Business/Commerce, General"
52.0201,"Business Administration and Management, General"
52.0202,"Purchasing, Procurement/Acquisitions and Contracts Management"
52.0203,"Logistics, Materials, and Supply Chain Management"
52.0204,Office Management and Supervision
52.0205,Operations Management and Supervision
52.0206,Non-Profit/Public/Organizational Management
52.0207,Customer Service Management
52.0208,E-Commerce/Electronic Commerce
52.0209,Transportation/Mobility Management
52.021,Research and Development Management
52.0211,Project Management
52.0212,Retail Management
52.0213,Organizational Leadership
52.0299,"Business Administration, Management and Operations, Other"
52.0301,Accounting
52.0302,Accounting Technology/Technician and Bookkeeping
52.0303,Auditing
52.0304,Accounting and Finance
52.0305,Accounting and Business/Management
52.0399,"Accounting and Related Services, Other"
52.0401,"Administrative Assistant and Secretarial Science, General"
52.0402,Executive Assistant/Executive Secretary
52.0406,Receptionist
52.0407,Business/Office Automation/Technology/Data Entry
52.0408,General Office Occupations and Clerical Services
52.0409,"Parts, Warehousing, and Inventory Management Operations"
52.041,"Traffic, Customs, and Transportation Clerk/Technician"
52.0411,Customer Service Support/Call Center/Teleservice Operation
52.0499,"Business Operations Support and Secretarial Services, Other"
52.0501,Business/Corporate Communications
52.0601,Business/Managerial Economics
52.0701,Entrepreneurship/Entrepreneurial Studies
52.0702,Franchising and Franchise Operations
52.0703,Small Business Administration/Management
52.0799,"Entrepreneurial and Small Business Operations, Other"
52.0801,"Finance, General"
52.0803,Banking and Financial Support Services
52.0804,Financial Planning and Services
52.0806,International Finance
52.0807,Investments and Securities
52.0808,Public Finance
52.0809,Credit Management
52.0899,"Finance and Financial Management Services, Other"
52.0901,"Hospitality Administration/Management, General"
52.0903,Tourism and Travel Services Management
52.0904,Hotel/Motel Administration/Management
52.0905,Restaurant/Food Services Management
52.0906,Resort Management
52.0907,Meeting and Event Planning
52.0908,Casino Management
52.0909,"Hotel, Motel, and Restaurant Management"
52.0999,"Hospitality Administration/Management, Other"
52.1001,"Human Resources Management/Personnel Administration, General"
52.1002,Labor and Industrial Relations
52.1003,Organizational Behavior Studies
52.1004,Labor Studies
52.1005,Human Resources Development
52.1099,"Human Resources Management and Services, Other"
52.1101,International Business/Trade/Commerce
52.1201,"Management Information Systems, General"
52.1206,Information Resources Management
52.1207,Knowledge Management
52.1299,"Management Information Systems and Services, Other"
52.1301,Management Science
52.1302,Business Statistics
52.1304,Actuarial Science
52.1399,"Management Sciences and Quantitative Methods, Other"
52.1401,"Marketing/Marketing Management, General"
52.1402,Marketing Research
52.1403,International Marketing
52.1499,"Marketing, Other"
52.1501,Real Estate
52.1601,Taxation
52.1701,Insurance
52.1801,"Sales, Distribution, and Marketing Operations, General"
52.1802,Merchandising and Buying Operations
52.1803,Retailing and Retail Operations
52.1804,Selling Skills and Sales Operations
52.1899,"General Merchandising, Sales, and Related Marketing Operations, Other"
52.1901,Auctioneering
52.1902,Fashion Merchandising
52.1903,Fashion Modeling
52.1904,Apparel and Accessories Marketing Operations
52.1905,Tourism and Travel Services Marketing Operations
52.1906,Tourism Promotion Operations
52.1907,Vehicle and Vehicle Parts and Accessories Marketing Operations
52.1908,Business and Personal/Financial Services Marketing Operations
52.1909,Special Products Marketing Operations
52.191,Hospitality and Recreation Marketing Operations
52.1999,"Specialized Merchandising, Sales, and Marketing Operations, Other"
52.2001,Construction Management
52.2101,Telecommunications Management
52.9999,"Business, Management, Marketing, and Related Support Services, Other"
54.0101,"History, General"
54.0102,American History (United States)
54.0103,European History
54.0104,History and Philosophy of Science and Technology
54.0105,Public/Applied History
54.0106,Asian History
54.0108,Military History
54.0199,"History, Other"
1.0101,"Agricultural Business and Management, General"
1.0102,Agricultural Business/Agribusiness Operations
1.0103,Agricultural Economics
1.0104,Farm and Ranch Management
1.0199,"Agricultural Business and Management, Other"
1.0201,"Agricultural Mechanization, General"
1.0203,"Agricultural Mechanics, Construction and Maintenance Skills"
1.0204,Agricultural Power Machinery Operator
1.0205,"Agricultural Structures, Equipment, and Facilities"
1.0206,Soil and Water Mechnical Practices
1.0299,"Agricultural Mechanization, Other"
1.0301,"Agricultural Production Workers and Managers, General"
1.0302,Agricultural Animal Husbandry and Production Management
1.0303,Aquaculture Operations and Production Management
1.0304,Crop Production Operations and Management
1.0305,Game Farm Management
1.0399,"Agricultural Production Workers and Managers, Other"
1.0401,Agricultural and Food Products Processing Operations and Management
1.0402,Food Products
1.0499,"Agricultural Products and Processing, Other"
1.0501,Agricultural Supplies Retailing and Wholesaling
1.0502,Agricultural Services
1.0503,Agricultural Supplies Marketing
1.0504,Pet Grooming
1.0505,Animal Trainer
1.0506,Horseshoeing
1.0507,"Equestrian/Equine Studies, Horse Management and Training"
1.0599,"Agricultural Supplies and Related Services, Other"
1.0601,"Horticulture Services Operations and Management, General"
1.0602,Arboriculture
1.0603,Ornamental Horticulture Operation and Management
1.0604,Greenhouse Operations and Management
1.0605,Landscaping Operations and Management
1.0606,Nursery Operations and Management
1.0607,Turf Management
1.0699,"Horticulture Services Operations and Management, Other"
1.0701,International Agriculture
1.9999,"Agricultural Business and Production, Other"
2.0101,"Agriculture/Agricultural Sciences, General"
2.0201,"Animal Sciences, General"
2.0202,Agricultural Animal Breeding and Genetics
2.0203,Agricultural Animal Health
2.0204,Agricultural Animal Nutrition
2.0206,Dairy Science
2.0208,Livestock
2.0209,Poultry Science
2.0299,"Animal Sciences, Other"
2.0301,Food Sciences and Technology
2.0401,"Plant Sciences, General"
2.0402,Agronomy and Crop Science
2.0403,Horticulture Science
2.0408,Plant Protection (Pest Management)
2.0409,Range Science and Management
2.0499,"Plant Sciences, Other"
2.0501,Soil Sciences
2.9999,"Agriculture/Agricultural Sciences, Other"
3.0101,"Natural Resources Conservation, General"
3.0201,Natural Resources Management and Policy
3.0202,Conservation
3.0203,Natural Resources Law Enforcement and Protective Services
3.0299,"Natural Resources Management and Protective Services, Other"
3.0301,Fishing and Fisheries Sciences and Management
3.0401,Forest Harvesting and Production Technology/Technician
3.0402,Forest Production
3.0403,Forest Products Utilization
3.0404,Forest Products Technology/Technician
3.0405,Logging/Timber Harvesting
3.0499,"Forest Production and Processing, Other"
3.0501,"Forestry, General"
3.0502,Forestry Sciences
3.0504,Forest Engineering
3.0506,Forest Management
3.0509,Wood Science and Pulp/Paper Technology
3.0599,"Forestry and Related Sciences, Other"
3.0601,Wildlife and Wildlands Management
3.9999,"Conservation and Renewable Natural Resources, Other"
4.0101,"Architecture and Environmental Design, General"
4.0201,Architecture
4.0301,"City/Urban, Community and Regional Planning"
4.0401,Architectural Environmental Design
4.0501,Interior Architecture
4.0601,Landscape Architecture
4.0701,Architectural Urban Design and Planning
4.0801,Land Use Managementand Reclamation
4.9999,"Architecture and Related Programs, Other"
5.0101,African Studies
5.0102,American Studies/Civilization
5.0103,Asian Studies
5.0104,East Asian Studies
5.0105,Eastern European Area Studies
5.0106,European Studies
5.0107,Latin American Studies
5.0108,Middle Eastern Studies
5.0109,Pacific Area Studies
5.011,Russian and Slavic Area Studies
5.0111,Scandinavian Area Studies
5.0112,South Asian Studies
5.0113,Southeast Asian Studies
5.0114,Western European Studies
5.0115,Canadian Studies
5.0199,"Area Studies, Other"
5.0201,Afro-American (Black) Studies
5.0202,American Indian/Native American Studies
5.0203,Hispanic-American Studies
5.0204,Islamic Studies
5.0205,Jewish/Judaic Studies
5.0299,"Ethnic and Cultural Studies, Other"
5.9999,"Area, Ethnic and Cultural Studies, Other"
6.0101,"Business and Management, General"
6.0201,Accounting
6.0301,Banking and Finance
6.0401,"Business Admintration and Management, General"
6.0402,Contract Management and Procure/Purchasing
6.0403,Product Management
6.0499,"Business Admintration and Management, Other"
6.0501,Business Economics
6.0601,Human Resources Development
6.0701,Hotel/Motel Management
6.0702,Recreational Enterprises Management
6.0703,Resort Management
6.0704,Restaurant Management
6.0705,Transportation Management
6.0799,"Institutional Management, Other"
6.0801,Insurance and Risk Management
6.0901,International Business Management
6.1001,Investments and Securities
6.1101,Labor/Industrial Relations
6.1201,Management Information Systems
6.1302,Operations Research (Quant Methods)
6.1303,"Management Science, General"
6.1399,"Management Science, Other"
6.1401,Marketing Management
6.1402,Marketing Research
6.1499,"Marketing Management and Research, Other"
6.1501,Organizational Behavior
6.1601,Personnel Management
6.1701,Real Estate
6.1801,Small Business Management and Ownership
6.1901,Taxation
6.2001,Trade and Industrial Supervision and Management
6.9999,"Business and Management, Other"
7.0101,"Accounting, Bookkeeping and Related Programs"
7.0102,Accounting and Computing
7.0103,Bookkeeping
7.0104,"Machine Billing, Bookeeping, and Computing"
7.0199,"Accounting, Bookkeeping, and Related Programs, Other"
7.0201,"Banking and Related Financial Programs, General"
7.0203,Insurance Clerk
7.0205,Teller
7.0299,"Banking and Related Financial Programs, Other"
7.0301,"Business Data Process and Related Programs, General"
7.0302,Business Computer and Console Operation
7.0303,Business Data Entry Equipment Operation
7.0304,Business Data Peripheral Equipment Operation
7.0305,Business Data Programming
7.0306,Business Systems Analysis
7.0399,"Business Data Process and Related Programs, Other"
7.0401,Office Supervision and Management
7.0501,"Personnel and Training Programs, General"
7.0502,Training Assisting
7.0503,Personnel Assisting
7.0601,"Secretarial and Related Programs, General"
7.0602,Court Reporting
7.0603,Executive Secretarial
7.0604,Legal Secretarial
7.0605,Medical Secretarial
7.0606,Secretarial
7.0607,Stenographic
7.0699,"Secretarial and Related Programs, Other"
7.0701,"Typing, General Office and Related Programs, General"
7.0702,Clerk-Typist
7.0703,Correspondence Clerk
7.0704,Duplicating Machine Operate
7.0705,General Office Clerk
7.0707,Receptionist
7.0708,"Shipping, Receiving and Stock Clerk"
7.0709,Traffic Rate and Transportation Clerk
7.0799,"Typing General Office and Related Programs, Other"
7.0801,Word Processing
7.9999,"Business (Administrative Support), Other"
8.0101,"Apparel and Accessories Marketing Operations, General"
8.0102,Fashion Merchandising
8.0103,Fashion Modeling
8.0105,Jewelry Marketing
8.0199,"Apparel and Accessories Marketing Operations, Other"
8.0201,"Business and Personal Services Marketing, General"
8.0202,Display
8.0203,Markeing of Business or Personal Services
8.0299,"Business and Personal Services Marketing Operations, Other"
8.0301,Entrepreneurship
8.0401,Financial Services Marketing Operations
8.0501,"Florist Farm Garden Supplies Marketing, General"
8.0503,Floristry Marketing Operations
8.0599,"Floristry, Farm and Garden Supplies Marketing, Other"
8.0601,"Food Products Retailing and Wholesaling Operation, General"
8.0604,Supermarket Marketing
8.0699,"Food Marketing, Other"
8.0701,Auctioneering
8.0702,Industrial Sales
8.0703,International Marketing
8.0704,General Buying Operations
8.0705,General Retailing Operations
8.0706,General Selling Skills and Sales Operations
8.0707,Wholesaling
8.0708,General Marketing Operations
8.0799,"General Retail and Wholesale Operations and Skills, Other"
8.0801,"Home and Office Products Marketing Operations, General"
8.0803,Building Materials Marketing
8.0805,Furniture Marketing
8.0806,Hardware Marketing
8.0807,Office Products and Equipment Marketing
8.0808,Specialty Home Furnishings Marketing
8.0899,"Home and Office Products Marketing Operations, Other"
8.0901,"Hospitality and Recreation Marketing Operations, General"
8.0902,Hotel/Motel Services Marketing Operation
8.0903,Recreation Products/Services Marketing Operations
8.0904,Recreational Products Marketing
8.0905,Water/Waitress and Related Services
8.0999,"Hospitality and Recreation Marketing Operations, Other"
8.1001,Insurance Marketing Operations
8.1101,"Transportation and Travel Marketing, General"
8.1102,Transportation Marketing
8.1104,Tourism Promotion Operations
8.1105,Travel Services Marketing Operations
8.1106,Warehouse Services Marketing
8.1199,"Tourism and Travel Services Marketing Operations, Other"
8.1201,"Vehicles and Petrolem Marketing, General"
8.1203,Vehicle Parts and Accessories Marketing Operations
8.1299,"Vehicle and Petroleum Products Marketing Operations, Other"
8.9999,"Marketing Operations/Marketing and Distribution, Other"
9.0101,"Communications, General"
9.0201,Advertising
9.0301,Communications Research
9.0401,Journalism
9.0501,Public Relations and Organizational Communications
9.0601,Radio/TV News Broadcasting
9.0701,Radio and Television Broadcasting
9.0801,Telecommunictions
9.9999,"Communications, Other"
10.0101,Educational/Instructional Media Tech.
10.0102,Motion Picture Technology
10.0103,Photographic Technology/Technician
10.0104,Radio and Television Broadcasting Technology
10.0105,Sound Recording Technology
10.0106,Video Technology
10.0199,"Communications Technol./Technicians, Other"
11.0101,"Computer and Information Sciences, General"
11.0201,Computer Programming
11.0301,Data Processing Technology/Technician
11.0401,Information Sciences and Systems
11.0501,Computer Systems Analysis
11.0601,Microcomputer Applications
11.9999,"Computer and Information Sciences, Other"
12.0101,Drycleaning and Laundering Services
12.0202,Bartending
12.0203,Card Dealer
12.0301,Funeral Services and Mortuary Science
12.0401,"Cosmetic Services, General"
12.0402,Barber/Hairstylist
12.0403,Cosmetologist
12.0404,Electrolysis Technician
12.0405,Massage
12.0406,Make-up Artist
12.0499,"Cosmetic Services, Other"
12.9999,"Personal and Miscellaneous Services, Other"
13.0101,"Education, General"
13.0201,Bilingual/Bicultural Education
13.0202,Bilingual Educ Assisting
13.0299,"Bilingual/Crosscultural Education, Other"
13.0301,Curriculum and Instruction
13.0401,"Education Admin. and Supervision, General"
13.0402,Administration of Special Education
13.0403,Adult and Continuing Education Administration
13.0404,Educational Supervision
13.0405,"Elementary, Middle and Secondary Education Administration"
13.0406,Higher Education Administration
13.0407,Community and Junior College Administration
13.0499,"Education Admin. and Supervision, Other"
13.0501,Educational/Instructional Media Design
13.0601,Educational Evaluation and Research
13.0603,Educational Statistics and Research Method
13.0604,"Educational Assessment, Testing and Measurement"
13.0605,Elementary and Secondary Research
13.0606,Higher Education Admin.
13.0699,"Educational Evaluation, Research and Statistics, Other"
13.0701,International and Comparative Education
13.0801,School Psychology
13.0901,Social/Philosophical Foundations of Education
13.1001,"Special Education, General"
13.1002,Education of the Cultural Disadvantaged
13.1003,Education of the Deaf and Hearing Impaired
13.1004,Education of the Gifted and Talented
13.1005,Education of the Emotionally Handicapped
13.1006,Education of the Mentally Handicapped
13.1007,Education of the Multiple Handicapped
13.1008,Education of the Physically Handicapped
13.1009,Education of Blind and Visually Handicapped
13.101,Remedial Education
13.1011,Education of the Specific Learning Disabled
13.1012,Education of the Speech Impaired
13.1099,"Special Education, Other"
13.1101,Counselor Education/Student Counseling and Guidance Services
13.1201,Adult and Continuing Teacher Education
13.1202,Elementary Teacher Education
13.1203,Junior High/Intermed/Middle School Teacher Education
13.1204,Pre-Elementary Education/Early Childhd/Kindergarten Teacher Education
13.1205,Secondary Teacher Education
13.1299,"General Teacher Education, Other"
13.1301,Agricultural Teacher Educ (Vocational)
13.1302,Art Teacher Education
13.1303,Business Teacher Education (Vocational)
13.1304,Driver and Safety Teacher Education
13.1305,English Teacher Education
13.1306,Foreign Languages Teacher Education
13.1307,Health Teacher Education
13.1308,Home Economics Teacher Educ (Vocational)
13.1309,Technology/Industrial Arts Teacher Education
13.131,Marketing Operations Teacher Education/Marketing and Distributive Teacher Education
13.1311,Mathematics Teacher Education
13.1312,Music Teacher Education
13.1313,Nutritional Education
13.1314,Physical Education Teaching and Coaching
13.1315,Reading Teacher Education
13.1316,"Science Teacher Education, General"
13.1317,Social Science Teacher Education
13.1318,Social Studies Teacher Education
13.1319,Technical Teacher Education (Vocational)
13.132,Trade and Industrial Teacher Education (Vocational)
13.1321,Computer Teacher Education
13.1399,"Teacher Education, Specific Academic and Vocational Programs, Other"
13.1401,Teaching ESL/Foreign Language
13.1501,Teacher Assistant/Aide
13.9999,"Education, Other"
14.0101,"Engineering, General"
14.0201,"Aerospace, Aeronautical and Astronautical Engineering"
14.0301,Agricultural Engineering
14.0401,Architectural Engineering
14.0501,Bioengineering and Biomedical Engineering
14.0601,Ceramic Sciences and Engineering
14.0701,Chemical Engineering
14.0801,"Civil Engineering, General"
14.0901,Computer Engineering
14.1001,"Electrical, Electronics and Communication Engineering"
14.1002,"Electrical, Electronics and Communication Engineering"
14.1101,Engineering Mechanics
14.1201,Engineering Physics
14.1301,Engineering Science
14.1401,Environmental/Environmental Health Engineering
14.1501,Geological Engineering
14.1601,Geophysical Engineering
14.1701,Industrial/Manufacturing Engineering
14.1801,Material Engineering
14.1901,Mechanical Engineering
14.2001,Metallurgical Engineering
14.2101,Mining and Mineral Engineering
14.2201,Naval Architecture and Marine Engineering
14.2301,Nuclear Engineering
14.2401,Ocean Engineering
14.2501,Petroleum Engineering
14.2601,Surveying and Mapping Sciences
14.2602,Cartography
14.2701,Systems Engineering
14.2801,Textile Sciences and Engineering
14.9999,"Engineering, Other"
15.0101,Architectural Engineering Technology/Technician
15.0102,Architectural Engineering Technology/Technician
15.0199,Architectural Engineering Technology/Technician
15.0201,Civil Engineering/Civil Tech./Technician
15.0202,Drafting and Design Technology
15.0203,Surveying and Mapping Technology
15.0204,Urban Planning Technology
15.0299,"Civil Technologies, Other"
15.0301,Computer Engineering Tech./Technician
15.0302,Electrical Technology
15.0303,"Electrical, Electronic and Communications Engineering Tech./Technician"
15.0304,Laser and Optical Tech./Technician
15.0399,"Electrical and Electronic Engineering-Related Tech./Technician, Other"
15.0401,Biomedical Engineering-Related Tech./Technician
15.0402,Computer Maintenance Tech./Technician
15.0403,Electromechanical Tech./Technician
15.0404,Instrumentation Tech./Technician
15.0405,Robotics Tech./Technician
15.0499,"Electromechanical Instrumentation and Maintenance Tech./Technician, Other"
15.0501,"Heating, Air Conditioning and Refrigeration Tech./Technician"
15.0502,Air Pollution Control Tech.
15.0503,Energy Management and Systems Tech./Techician
15.0504,Sanitation Technology
15.0505,Solar Tech./Technician
15.0506,Water Quality/Wastewater Treatment Tech.
15.0599,"Environmental Control Tech., Other"
15.0602,Food Processing Technology
15.0603,Industrial/Manufacturing Tech./Technician
15.0606,Optical Technology
15.0607,Plastics Tech./Technician
15.0609,Textile Technology
15.061,Welding Technology
15.0699,"Industrial Production Technology/Techicians, Other"
15.0701,Occupational Safety and Health Tech./Technician
15.0702,Quality Control Technology/Technician
15.0799,Quality Control and Safety Technology/Technicians
15.0801,Aeronautical and Aerospace Engineering Technology/Technician
15.0803,Automotive Engineering Technology/Technician
15.0804,Marine Propulsion Technology
15.0805,Mechanical Engineering/Mechanical Technology
15.0899,"Mechanical Engineering-Related Technology, Other"
15.0901,Mining Technology/Technician
15.0902,Mining Technology/Technician
15.0903,Petroleum Technology/Technician
15.0999,"Mining and Petroleum Technology/Technician, Other"
15.1001,Construction/Building Technology/Technician
15.9999,"Engineering-Related Technology/Technician, Other"
16.0101,"Foreign Languages and Literatures, General"
16.0201,"Foreign Languages and Literatures, Other"
16.0301,Chinese Language and Literature
16.0302,Japanese Language and Literature
16.0399,"East/Southeast Asian Language and Literature, Other"
16.0402,Russian Language and Literature
16.0403,Slavic Language and Literature (Other than Russian)
16.0499,"East Europe Languages and Literatures, Other"
16.0501,German Language and Literature
16.0502,Scandinavian Languages and Literatures
16.0599,"Germanic Languages and Literatures, Other"
16.0601,Greek (Classical)
16.0703,South Asian Languages and Literatures
16.0901,French Language and Literature
16.0902,Italian Language and Literature
16.0903,Latin
16.0904,Portuguese Language and Literature
16.0905,Spanish Language and Literature
16.0999,"Romance Languages and Literatures, Other"
16.1001,Native American Languages
16.1101,Arabic Language and Literature
16.1102,Hebrew Language and Literature
16.1199,"Mid Eastern Languages and Literatures, Other"
16.9999,"Foreign Languages and Literatures, Other"
17.0101,Dental Assisting
17.0102,Dental Hygiene
17.0103,Dental Laboratory Technology
17.0199,"Dental Services, Other"
17.0201,Cardiovascular Technology
17.0202,Dialysis Technology
17.0203,Electrocardiograph Technology
17.0204,Electroencephalograph Technology
17.0205,Emergency Med Tech-Ambulance
17.0206,Emergency Med Tech-Paramedic
17.0207,Medical Radiation Dosimetry
17.0208,Nuclear Medical Technology
17.0209,Radiologic (Medical) Technology
17.021,Respiratory Therapy Technician
17.0211,Surgical Technology
17.0212,Diagnostic Medical Sonography
17.0299,"Diagnstic and Treatment Services, Other"
17.0301,Blood Bank Technology
17.0302,Chemistry Technology
17.0303,Clinical Animal Technology
17.0304,Clinical Laboratory Aide
17.0305,Clinical Laboratory Assistant
17.0306,Cytotechnology
17.0307,Hematology Technology
17.0308,Histologic Technology
17.0309,Medical Laboratory Technician
17.031,Medical Technology
17.0311,Microbiology Technician
17.0399,"Medical Lab Technologies/Technicians, Other"
17.0401,Alcohol/Drug Abuse Specialty
17.0402,Community Health Work
17.0404,Home Health Aide
17.0405,"Mental Health/Hum Services, Assistant"
17.0406,"Mental Health/Hum Services, Technician"
17.0407,Rehabilitation Counseling
17.0408,Therapeutic Child Care Work
17.041,Sign Language Interpreting
17.0499,"Ment Health/Human Services, Other"
17.0502,Central Supply Technology
17.0503,Medical Assisting
17.0504,Medical Illustrating
17.0505,Medical Office Management
17.0506,Medical Records Technology
17.0507,Pharmacy Assisting
17.0508,Physician Assisting
17.0512,Veterinarian Assisting
17.0513,Health Unit Coordinating
17.0514,Chiropractic Assisting
17.0599,"Misc Allied Health Services, Other"
17.0601,Geriatric Aide
17.0602,Nursing Assisting
17.0605,Practical Nursing
17.0606,Health Unit Management
17.0699,"Nursing-Related Services, Other"
17.0701,Ophthalmic Dispensing
17.0705,Optometric Technology
17.0799,"Ophthalmic Services, Other"
17.0801,Art Therapy
17.0803,Dance Therapy
17.0804,Exercise Physiology
17.0806,Music Therapy
17.0807,Occupational Therapy
17.0808,Occupational Therapy Assistant
17.0811,Orthotics/Prosthetics
17.0812,"Orthopedic Assistants, Other"
17.0813,Physical Therapy
17.0814,Physical Therapy Aide
17.0815,Physical Therapy Assistant
17.0816,Recreational Therapy
17.0817,Recreational Therapy Assistant
17.0818,Respiratory Therapy
17.0819,Respiratory Therapy Assistant
17.082,Speech/Hearing Therapy Aide
17.0822,Recreational Therapy Aide
17.0899,"Rehabilitation Services, Other"
17.9999,"Allied Health, Other"
18.0101,Audiology
18.0102,Speech Pathology
18.0103,Speech-Lang Pathlgy/Audiolgy
18.0199,"Audiology and Speech Pathology, Other"
18.0201,Clinical Anatomy
18.0202,Clinical Biochemistry
18.0203,Clinical Microbiology
18.0204,Clinical Pathology
18.0205,Clinical Physiology
18.0206,Clinical Toxicology
18.0299,"Basic Clinical Health Sciences, Other"
18.0301,Chiropractic
18.0401,"Dentistry, General"
18.0402,Dental Public Health
18.0403,Endodontics
18.0404,Oral/Maxial Facial Surgery
18.0405,Oral Pathology
18.0406,Orthodontics
18.0407,Pedodontics
18.0408,Periodontics
18.0409,Prosthodontics
18.0499,"Dentistry, Other"
18.0701,"Health Services Administration, General"
18.0702,Health Care Planning
18.0703,Medical Records Administration
18.0799,"Health Services Administration, Other"
18.0901,Medical Laboratory
18.1001,"Medical, General"
18.1003,Anesthesiology
18.1007,Family Practice
18.1008,Geriatrics
18.1009,Immunology
18.101,Internal Medicine
18.1011,Neurological Surgery/Neurosurgery Residency
18.1012,Nuclear Medicine Residency
18.1013,Obstetrics and Gynecology Residency
18.1016,Orthopedic
18.1017,Otorhinolayngology/otolaryngology
18.1018,Pathology
18.102,Physical Medicine and Rehabilitation
18.1022,Preventive Medicine
18.1023,Psychiatry
18.1024,Neurology
18.1025,Radiology
18.1026,Surgery
18.103,Sports Medicine
18.1099,"Medicine, Other"
18.1101,"Nursing, General"
18.1102,Anesthetist
18.1103,Maternal/Child Health
18.1104,Medical Surgical
18.1105,Nursing Administration
18.1106,Psychiatric/Mental Health
18.1107,Public Health
18.1199,"Nursing, Other"
18.1201,Optometry
18.1301,Osteopathic Medicine
18.1401,Pharmacy
18.1501,Podiatry
18.1701,Pre-Dentistry
18.1801,Pre-Medicine
18.1901,Pre-Pharmacy
18.2001,Pre-Veterinary
18.2201,Public Health Laboratory Services
18.2202,Epidemiology
18.2203,Public Health Education
18.2204,Public Health Practice and Management
18.2299,"Public Health, Other"
18.2401,Veterinary Medicine
18.9999,"Health Sciences, Other"
19.0101,"Home Economics, General"
19.0201,Business Home Economics
19.0301,Family and Community Studies
19.0401,Family Resource Management Studies
19.0402,Consumer Economics and Science
19.0499,"Family/Consumer Resource Management, Other"
19.0501,"Foods and Nutrition Studies, General"
19.0502,Foods and Nutrition Science
19.0503,Dietetics/Human Nutritional Services
19.0599,"Foods and Nutrition Studies, Other"
19.0601,"Housing Studies, General"
19.0602,Household Equipment
19.0603,Interior Environments
19.0699,"Housing Studies, Other"
19.0701,"Individual/Family Devel. Studies, General"
19.0703,Family and Marriage Counseling
19.0704,Family Life and Relations Studies
19.0705,Gerontological Services
19.0799,"Individual/Family Devel. Studies, Other"
19.0901,Clothing/Apparel and Textile Studies
19.0902,Fashion Design
19.0904,Textile Science
19.0999,"Textiles and Clothing, Other"
19.9999,"Home Economics, Other"
20.0101,Comprehensive Consumer and Home Education
20.0102,"Child Development, Care and Guidance"
20.0103,Clothing and Textiles
20.0104,Consumer Education
20.0105,Exploratory Homemaking
20.0107,Family Living and Parenthood
20.0108,Food and Nutrition
20.0109,Home Management
20.011,"Housing, Home Furnishings, and Equipment"
20.0199,"Consumer and Homemaking Education, Other"
20.0201,"Child Care/Guidance Workers and Managers, General"
20.0202,Child Care Provider/Assistant
20.0203,Child Care Services Manager
20.0204,Foster Care/Family Care
20.0299,"Child Care/Guidance Workers and Managers, Other"
20.0301,"Clothing, Apparel and Textile Workers and Managers, General"
20.0302,Clothing Maintenance Aide
20.0303,Commercial Garment and Apparel Worker
20.0304,Custom Apparel/Garment Seamstress
20.0305,Custom Tailor
20.0306,Fashion and Fabric Consultant
20.0399,"Clothing, Apparel and Textile Workers and Managers, Other"
20.0401,"Institutional Food Workers and Administrators, General"
20.0402,Baking
20.0403,Chef/Cook
20.0404,Dietician Assistant
20.0405,Food Caterer
20.0406,Food Service
20.0408,School Food Service
20.0499,"Institutional Food Workers and Administrators, Other"
20.0501,"Home Furnishings and Equipment Installer, General"
20.0503,Custom Slipcovering and Uphols
20.0504,Floral Design
20.0505,Home Decorating
20.0506,Home Furnishing Aide
20.0599,"Home Furnishings and Equipment Installer, Other"
20.0601,"Custodial, Housekeeping and Home Service"
20.0604,Custodian/Caretaker
